1|Больницы взрослые
2|Больницы детские
3|Поликлиники взрослые
4|Поликлиники детские
5|Стоматологические поликлиники
6|Стоматологические поликлиники детские
7|Дом ребенка
8|Женская консультация
9|Родильные дома и перинатальные центры
10|Станция скорой медицинской помощи
11|Противотуберкулезные учреждения
12|Кожно-венерологические диспансеры
13|Наркологические учреждения
14|Онкологические диспансеры
15|Другие
